"","target_id","source_id","weight"
"174","10.00_72.00","10.00_73.00",0.125005354756002
"175","10.00_72.00","11.00_71.00",0.0623530633883679
"176","10.00_72.00","11.00_72.00",0.124706126776736
"177","10.00_72.00","11.00_73.00",0.0623530633883679
"178","10.00_74.00","9.00_73.00",0.0626415818556301
"179","10.00_74.00","9.00_74.00",0.12528316371126
"180","10.00_74.00","9.00_75.00",0.0626415818556301
"181","10.00_74.00","10.00_73.00",0.125005354756002
"182","10.00_74.00","10.00_74.00",0.250010709512004
"183","10.00_74.00","10.00_75.00",0.125005354756002
"184","10.00_74.00","11.00_73.00",0.0623530633883679
"185","10.00_74.00","11.00_74.00",0.124706126776736
"186","10.00_74.00","11.00_75.00",0.0623530633883679
"187","10.00_76.00","9.00_75.00",0.0626415818556301
"188","10.00_76.00","9.00_76.00",0.12528316371126
"189","10.00_76.00","9.00_77.00",0.0626415818556301
"190","10.00_76.00","10.00_75.00",0.125005354756002
"191","10.00_76.00","10.00_76.00",0.250010709512004
"192","10.00_76.00","10.00_77.00",0.125005354756002
"193","10.00_76.00","11.00_75.00",0.0623530633883679
"194","10.00_76.00","11.00_76.00",0.124706126776736
"195","10.00_76.00","11.00_77.00",0.0623530633883679
"196","10.00_78.00","9.00_77.00",0.0626415818556301
"197","10.00_78.00","9.00_78.00",0.12528316371126
"198","10.00_78.00","9.00_79.00",0.0626415818556301
"199","10.00_78.00","10.00_77.00",0.125005354756002
"200","10.00_78.00","10.00_78.00",0.250010709512004
"201","10.00_78.00","10.00_79.00",0.125005354756002
"202","10.00_78.00","11.00_77.00",0.0623530633883679
"203","10.00_78.00","11.00_78.00",0.124706126776736
"204","10.00_78.00","11.00_79.00",0.0623530633883679
"205","10.00_80.00","9.00_79.00",0.0626415818556301
"206","10.00_80.00","9.00_80.00",0.12528316371126
"207","10.00_80.00","9.00_81.00",0.0626415818556301
"208","10.00_80.00","10.00_79.00",0.125005354756002
"209","10.00_80.00","10.00_80.00",0.250010709512004
"210","10.00_80.00","10.00_81.00",0.125005354756002
"211","10.00_80.00","11.00_79.00",0.0623530633883679
"212","10.00_80.00","11.00_80.00",0.124706126776736
"213","10.00_80.00","11.00_81.00",0.0623530633883679
"214","10.00_82.00","9.00_81.00",0.0626415818556301
"215","10.00_82.00","9.00_82.00",0.12528316371126
"216","10.00_82.00","9.00_83.00",0.0626415818556301
"217","10.00_82.00","10.00_81.00",0.125005354756002
"218","10.00_82.00","10.00_82.00",0.250010709512004
"219","10.00_82.00","10.00_83.00",0.125005354756002
"220","10.00_82.00","11.00_81.00",0.0623530633883679
"221","10.00_82.00","11.00_82.00",0.124706126776736
"222","10.00_82.00","11.00_83.00",0.0623530633883679
"223","10.00_84.00","9.00_83.00",0.0626415818556301
"224","10.00_84.00","9.00_84.00",0.12528316371126
"225","10.00_84.00","9.00_85.00",0.0626415818556301
"226","10.00_84.00","10.00_83.00",0.125005354756002
"227","10.00_84.00","10.00_84.00",0.250010709512004
"228","10.00_84.00","10.00_85.00",0.125005354756002
"229","10.00_84.00","11.00_83.00",0.0623530633883679
"230","10.00_84.00","11.00_84.00",0.124706126776736
"231","10.00_84.00","11.00_85.00",0.0623530633883679
"232","10.00_86.00","9.00_85.00",0.0626415818556301
"233","10.00_86.00","9.00_86.00",0.12528316371126
"234","10.00_86.00","9.00_87.00",0.0626415818556301
"235","10.00_86.00","10.00_85.00",0.125005354756002
"236","10.00_86.00","10.00_86.00",0.250010709512004
